Serial_Number,Schedule_Number,Depot_Code,Count,Depots
452,381A,39,1,39
589,381C,39,6,39
595,381C,39,6,"39,39"
598,381C,39,6,"39,39,39"
610,381C,39,6,"39,39,39,39"
613,381C,39,6,"39,39,39,39,39"
645,381C,39,6,"39,39,39,39,39,39"
6430,381D,39,2,39
6431,381D,24,2,"39,24"
891,381E,24,2,24
981,381E,29,2,"24,29"
