"busstop","bus_route_no"
"JPNagara 6th Phase,JP NAGARA 6TH PHASE,OPPOSITE OF THE BIG MARKET",
"JP Nagara 15th Cross,JP NAGARA 2ND PHASE,BESIDE CELL CITY",
"RVDental College,JP NAGARA 1ST PHASE,BESIDE R.V.COLLEGE",
"Marenahalli,JP NAGARA 1ST PHASE,BESIDE 3M CAR CARE",
"Jayanagara 5th Block,JAYANAGARA 5TH BLOCK,BESIDE AIR WAAVE",
"Telephone Exchange,JAYANAGARA 4TH BLOCK,BESIDE BSNL OFFICE",
"Vijaya College,BASAVANAGUDI,OPPOSITE OF INFORMATICS",
"RV Teachers College,BASAVANAGUDI,BESIDE MEGA AGENSIS",
"Lalbagh West Gate,V.V.PURAM,BESIDE HDFC BANK",
"Minarva Circle,V.V.PURAM",
"Town Hall,OPPOSITE OF RANI CHANNAMMA STATUE",
"Corporation,CORPORATION,IN FRONT OF BANAPPA PARK",
"Mysore Bank,VASANTHA NAGARA,BESIDE ALL INDIA COUNCIL FOR TECHNICAL",
"Telephone Exchange,VASANTHA NAGARA,BESIDE TELEPHONE EXCHANGE",
"RC College,VASANTHA NAGARA,BESIDE R.C.COLLEGE",
"Shivananda Stores,VASANTHA NAGARA,BESIDE SEA ROCK RESTAURANT",
"Swastik,SHESHADRI PURAM,OPPOSITE OF SESHADRIPURAM POLICE STATION",
"Yeshwanthpura",
"Yeshwanthpura Market,YESHAWANTHAPURA,IN FRONT OF SYNDICATE BANK ATM",
"Bombay Dyeing,YESHAWANTHAPURA,IN FRONT OF RAGHU MEDICALS",
"Mathikere Post Office,MATHIKERE,IN FRONT OF SAI INTERNATIONAL ELECTRONICS",
"Mathikere,MATHIKERE,IN FRONT OF VINAYAKA CONDIMENTS",
"Chowdeshwari Bus Stand JP Park,MATHIKERE, CHOUDESHWARI BUS STOP,IN FRONT OF LOK ANAND APARTMENTS",
"BTM Layout,BTM Layout 2nd Stage,Kuvempunagara Bus Stand",
"Udupi Garden 16th Main,BTM Layout,Opp Axis Bank",
"BTM water Tank,BTM LAYOUT,OPPOSITE OF CORPORATION BANK",
"MICO Layout,BTM LAYOUT,IN FRONT OF METRIC STREAM",
"Jayadeva Hospital,BTM MICO LAYOUT,OPPOSITE OF JAYADEVA HOSPITAL",
"East End,Adjacent to Shekhar Hospital",
"Jayanagara Pump House,JAYANAGARA 9TH BLOCK,BESIDE SAINT MARY ENTERPRISES",
"Carmel Convent Jayanagara,JAYANAGARA 4TH T BLOCK,BESIDE THINK SPAN TECHNOLOGIES",
"Jayanagara General Hospital,JAYANAGARA 4TH T BLOCK,RAJEEV GANDHI UNIVERSITY OF HEALTH",
"Church,JAYANAGARA 4TH T BLOCK,BESIDE THASHI'S HERBAL",
"City Civil Court",
"KR Circle,BESIDE DISTRICT TREASURY OFFICE",
"St Marthas Hospital,BESIDE POLICE HEAD QUARTERS",
"Corporation",
"Poornima Talkies,K.S.GARDEN,BESIDE KAVERI ENTERPRISES",
"Shanthi Nagara Bus Station,SHANTHI NAGAR,OPPOSITE TO SHANTHINAGAR TTMC",
"KH Road",
"Richmond Circle",
"StJosephs College",
"Mayohall",
"MG Road ",
"Shivajinagar Bus Station,SHIVAJI NAGARA,BESIDE BMTC BUS STAND",
"Indian Express",
"Vidhana Soudha",
"KR Circle,Post Office Road",
"Vasanthapura,VASANTHAPURA,IN FRONT OF VASANTHA VALLABHARAYA SWAMY TEMPLE",
"Yadalam Nagara,YADALAM NAGARA,IN FRONT OF SRI MANIKANTA SOUND SYSTEM",
"Subramanyapura Co-operative Society,SUBRAMANYA PURA,BESIDE K.E.B.",
"Subramanyapura Police station,SUBRAMANYA PURA,IN FRONT OF YADALAM ADI LAKSHMAMMA SUBBAIAH SHETTY MIDDLE SCHOOL",
"Uttarahalli,UTHARAHALLI,IN FRONT OF PUBLIC LIBRARY UTHARAHALLI",
"Uttarahalli KR Hospital,UTHARAHALLI,IN FRONT OF I.C.I.C.I.BANK",
"Chikkalsandra Canara Bank Colony,CHIKKALASANDRA,BESIDE STATE BANK OF MYSORE",
"Chikkalsandra Aralimara,CHIKKALASANDRA,IN FRONT OF C.S.HOSPITAL",
"Gowdana palya,TELECOM NAGARA,BESIDE SRI BALAJI C.D.CENTRE",
"Prarthana School,PADMANABHA NAGARA",
"Kadirenahalli Village,KADIRENAHALLI,IN FRONT OF BELURU IYENGAR BAKERY",
"kadirenahalli cross,BANASHANKRI 2ND STAGE TEACHERS COLONY,BESIDE S.A.F00T WEAR",
"BANASHANKARI TTMC",
"Sangam Circle,JAYANAGARA 8TH BLOCK,BESIDE INDIAN TYRE CENTER",
"Jayanagara 40th Cross",
"Jayanagara Bus Stand,JAYANAGARA 4TH BLOCK,BESIDE JAIN TEMPLE",
"Telephone Exchange,JAYANAGARA 5TH BLOCK,SAMSKRUTI BANQUET HALL",
"Jayanagara 40th Cross,JAYANAGARA 5TH BLOCK,BESIDE LIC OFFICE",
"Sangam Circle,JAYANAGARA 8TH BLOCK,BESIDE BANGALORE WATER SUPPLY",
"Hunase Mara Banashankari",
"Monotype,BANASHANKARI, 2ND STAGE,BESIDE AVK & NSVK INSTITUTIONS",
"Banashankari BDA Complex,BANASHANKARI 2ND STAGE,BISIDE HDFC BANK",
"Indira Nursing Home,BANASHANKARI 2ND STAGE,OPPOSITE OF MUTHOOT FINANCE",
"Devegowda Petrol Bunk,BANASHANKARI 3RD STAGE,BESIDE BESCOM",
"Padmanabha Nagara,PADMANABHA NAGARA,OPPOSITE OF STATE BANK OF INDIA",
"Prarthana School,PADMANABHA NAGARA,OPPOSITE OF PRARTHANA SCHOOL",
"Gowdana palya,GOWDANA PALYA,OPPOSITE OF SRI BALAJI C.D.CENTRE",
"Chikkallasandra Aralimara,CHIKKALASANDRA,IN FRONT OF BESCOM OFFICE",
"Chikkalsandra Canara Bank Colony,CHIKKALASANDRA,OPPOSITE OF STATE BANK OF MYSORE",
"Uttarahalli KR Hospital,UTHARAHALLI,OPPOSITE OF I.C.I.C.I.BANK",
"Uttarahalli,UTHARAHALLI,BESIDE BMTC MAIN BUS STAND",
"Subramanyapura Police station,SUBRAMANYA PURA,IN FRONT OF POST OFFICE",
"Subramanyapura Co-operative Society,SUBRAMANYA PURA,OPPOSITE OF K.E.B.",
"Yadalam Nagara,YADALAM NAGARA,IN FRONT OF SMASHANA",
"Trinity Circle",
"Military Accounts Office",
"Commando Hospital",
"Domlur",
"KODIHALLI",
"Manipal Hospital",
"Murgeshpalya,Opp.Sir MV COLLAGE",
"Rajeshwari Talkies",
"HAL Main Gate",
"Helicopter Division",
"HAL Kalyanamantapa",
"Borewell",
"Maratahalli",
"Maratahalli Bridge",
"Spice Garden",
"Kundalahalli Gate",
"Thubarahalli",
"Siddapura",
"Ramgundanhalli",
"Varthuru Kodi",
"Brook Bond",
"White Field",
"Old Sai Baba Hospitals",
"Munish Hospital",
"Hope Form",
"Prajwal School",
"Kadugodi",
"Central Silk Board",
"Madivala Mosque,KORAMANGALA 2ND BLOCK,IN FROUNT OF UJWAL FAB INDIA",
"Koramangala Water Tank,KORAMANGALA RING ROAD,OPPOSITE OF KARNATAKA BANK",
"BDA Complex koramangala,KORAMANGALA RING ROAD,OPPOSITE OF BDA COMPLEX",
"Canara Bank Koramangala,KORAMANGALA RING ROAD,BESIDE SPICE HOT SHOP",
"Jn of 80 and 100 Feet Road,KORAMANGALA RING ROAD,OPPOSITE OF OASIS CENTER & LIFE STYLE",
"Sreenivagilu,KORAMANGALA RING ROAD,BESIDE ASC NORTH COMPLEX",
"Military Bridge",
"Jn of New Bridge,DOMLURU,BESIDE GINGER COFFEE DAY",
"Domlur,DOMLURU,OPPOSITE OF HDFC BANK",
"Domlur Bridge",
"Doopanahalli,INDIRA NAGARA,BESIDE RELIANCE DIGITAL",
"New Horizon School,HAL 2ND STAGE,BESIDE NAC HOME",
"HAL 12th Main,HAL 2ND STAGE,BESIDE AXIS BANK",
"HAL 6th Main,HAL 2ND STAGE,BESIDE BANK OF BARODA",
"Indiranagar Police Station,INDIRA NAGARA,BESIDE POLICE STATION & K.F.C.",
"Indiranagar Double Road,INDIRA NAGARA,BESIDE MANYVARA, 13TH CROSS",
"Lakshmipura Ulsoor,INDIRA NAGARA,BESIDE BBMP BURIAL GROUND",
"Halasur",
"Manipal Centre,M.G.ROAD,BESIDE MILITARY GATE",
"maniksha pardeground,M.G.ROAD,BESIDE PARADE GROUND",
"Forties Hospital",
"Vasantha Nagara",
"Jaymahal Extension",
"Munireddy Palya",
"TV Tower Munireddy palya",
"Mekhri Circle",
"Kendriya Vidyalaya CPRI",
"Yeshwanthpura Circle",
"Maharani College,BESIDE SJP COLLEGE",
"Shivajinagar Bus Station",
"DSouza Circle",
"Boldwin Girls High School",
"Poornima Talkies,NEW MISSION ROAD,BESIDE JAYALAKSHMI BAKARY",
"Kempegowda Bus Station",
"Corporation Office",
"Museum Kasturba Road",
"MG Road Metro Station",
"Maniksha Parade Ground",
"KR Circle,VASANTHA NAGARA,BESIDE SJP COLLEGE",
"Cauvery Bhavana,VASANTHA NAGARA,BESIDE PETROL BUNK",
"Peenya 2nd stage,PEENYA 2ND STAGE,IN FRONT OF M.P.P.TEHNOLOGIES PVT LTD",
"Rajagopalanagar Rajni Farms,PEENYA INDUSTRIAL AREA 2ND STAGE,IN FRONT OF MANJUNATHA REFRESHMENT",
"Peenya 14th Cross,PEENYA INDUSTRIAL AREA 2ND STAGE,OPPOSITE OF SISTEMS MANUFACTURING PVT LTD",
"Brundavana Peenya 2nd Stage,PEENYA INDUSTRIAL AREA 2ND STAGE,IN FRONT OF NEW TIMBER INDUSTRY",
"NTTF,N.T.T.F.CROSS,IN FRONT OF NEW TIMBER INDUSTRY",
"Rolling Mill,PEENYA INDUSTRIAL AREA,BESIDE ARVIND MOTORS",
"TVS Cross ,PEENYA INDUSTRIAL AREA,IN FRONT OF MALLIPORE LIMITED",
"System Jalahalli Cross,PEENYA INDUSTRIAL AREA,IN FRONT OF SISTEMS MANUFACTURING PVT LTD",
"Jalahalli Cross",
"T Dasarahalli",
"Tumkur Road 8th Mile,8TH MILE,BESIDE DURGA SAW MILL",
"Widia School Bagalagunte,T.DASARAHALLI,BESIDE ESHWARI MEDICALS",
"Bagalagunte,BAGALAGUNTE,BESIDE MATAJI STEEL CENTER",
"Bone Mill,BONE MILL,BESIDE PAVAN MEDICALS",
"Sapthagiri College Chikka Banawara,KIRLOSKAR LAYOUT,BESIDE NEW UDUPI UPAHARA",
"Janapriya Apartments,JANAPRIYA APARTMENTS,BESIDE OPEN AREA",
"Chikkabanawara Railway Gate,CHIKKA BANAVARA,BESIDE GREEN COMFORT CAMPUS HOME",
"Chikkabanawara ,CHIKKA BANAVARA,BESIDE SUMA TRADERS",
"Kundalahalli Gate,KUNDALAHALLI,OPPOSITE OF HYPER CITY",
"BEML Gate,KUNDALAHALLI,OPPOSITE OF HYPER CITY",
"AECS Layout,KUNDALAHALLI,OPPOSITE OF BROOK FIELD",
"Graphite India",
"SAP ITPL,WHITEFIELD,IN FRONT OF SAP",
"Vydehi Hospital,WHITEFIELD,BESIDE TTMC BUS STAND",
"Sai Baba Hospital,WHITEFIELD,OPPOSITE OF SRI SATHYA SAI HOSPITAL",
"Pattandur Agrahara Gate,IN FRONT OF APPOLO PHARMACY",
"ITPL,OPPOSITE OF I.T.P.L. MAIN GATE",
"B P L,OPPOSITE OF CINEMA HALL",
"Hope Farm",
"Ramagondanahalli Varthuru",
"Cauvery Bhavana,K.R. MARKET,OPPOSITE OF BWSSB",
"JP Nagara 1st Phase,SHAKAMBARI NAGARA,BESIDE APOLLO PHARMACY",
"Indira Gandhi Circle,SHAKAMBARI NAGARA,BESIDE S.B.M.LAYOUT",
"Eliyas Nagar,ILYASA NAGARA,BESIDE M.S.MADEENA STORE",
"Jn Of Ring Road,ILYAS NAGARA,BESIDE R.R.DIAGNOSTIC CENTER",
"City Railway Station,BESIDE CITY RAILWAY STATION",
"Power House,JP NAGARA 6TH PHASE,BESIDE R.G.V.TELECOM PVT.LTD.",
"Banashankari Bus Station",
"Kadirenahalli Cross,BANASHANKRI 2ND STAGE KAVERI NAGARA,BESIDE KAVERI GLASS & PLYWOODS",
"Dayananda Sagar College,KUMARASWAMY AYOUT 2ND STAGE,IN FRONT OF STATE BANK OF INDIA",
"Kumaraswamy Layout Police Station,KUMARA SWAMY LAYOUT,IN FRONT OF KUMARA SWAMY LAYOUT POLICE STATION",
"Kumaraswamy Layout ",
"Canara Bank",
"ISRO Layout,ISRO LAYOUT,IN FRONT OF BHARTHIYA STATE BANK",
"Vasanthapura,VASANTHAPURA,BESIDE OPEN AREA",
"Yarab Nagara,BANASHANKRI 2ND STAGE KAVERI NAGARA,OPPOSITE OF BRAHMALINGESHWARA CONDIMENTS",
"Cauvery Nagara,BANASHANKRI 2ND STAGE KAVERI NAGARA,BESIDE VINAYAKA SABHA BHAVANA",
"Monotype,BANASHANKARI, 2ND STAGE,OPPOSITE OF THALAM AL-TIUS",
"Padmanabha Nagara,PADMANABHA NAGARA,IN FRONT OF DEVAGIRI SHISHUVIHARA",
"Devegowda Petrol Bunk,BANASHANKARI 3RD STAGE,BESIDE BIG MEGA MART",
"Kempegowda Medical  Hospital,BANASHANKARI 3RD STAGE,OPPOSITE OF KEMPEGOWDA MEDICAL COLLEGE",
"Indira Nursing Home Tyagarajanagar,BANASHANKARI 2ND STAGE,BESIDE INDIRA NURSING HOME",
"Post Office,BANASHANKARI, 2ND STAGE,OPPOSITE POST OFFICE, BANASHANKARI, 2ND STAGE",
"Kadirenahalli Village,KADIRENAHALLI,IN FRONT OF STATE BANK OF MYSORE",
"India Garage Vannar Peth Road,LOWER AGRAM",
"ASC Center,ASTINTOWN CROSS",
"Vannarapete",
"Jn Of Egipura",
"Rajendranagar,RAJENDRANAGARA",
"NDDA Koramangala",
"BMTC Depot-15",
"Jn of 80 and 100 Feet Road,SONY",
"Maharaja Hotel Koramangala",
"Wipro Park Koramangala",
"Koramangala",
"Jakkasandra",
"Agara Junction",
"Ibbaluru Sarjapura Road",
"Bellanduru Gate Sarjapura Road",
"Kaikodrahalli",
"Jinnasandra Gate",
"Doddakannalli",
"Carmelaram Gate",
"Railway Gate",
"Ambedkar Nagara,AMBEDKARNAGARA",
"Kodathi Gate",
"Gouthamagara",
"Chandapura Cross",
"Dommasandra Circle",
"Dommasandra ",
"TChuddadenahalli",
"Chambenahalli Gate",
"Yamare",
"Apartment Sarjapura road",
"Sompura Gate",
"Sarjapura,POLICE STATION",
"Sarjapura Bus Stand",
"Brigade Road",
"St. Patrics Church",
"Johnson Market",
"Anepalya",
"MICO Gate",
"Bangalore Dairy Circle",
"Ashrama,OPPOSITE OF BHARATH PETROL BUNK",
"Gurappana palya",
"MICO Checkpost",
"JP Nagara 3rd Phase",
"Bilekalli",
"IIM Appolo Hospital",
"Arakere Gate Byrapura",
"BPL",
"Hulimavu Gate",
"Meenakshi Temple",
"Loyala School",
"Kalena Agrahara",
"Gottigere High School",
"Gottigere",
"TJohn College Cross",
"Basavanapura Gate",
"Koli Farm Gate Bannerghatta Road",
"Tulip Resort Cross",
"Kalkere",
"AMC College Bannerghatta Road",
"Jalli Machine Bannerghatta Road",
"Vijaya Bank Banneragatta Circle",
"Bannerghatta Circle",
"Sampigehalli,BHANNERGAHTTA POST",
"Bannerghatta National Park",
"Basappa Circle",
"Lalbhagh Main Gate,AL-AMEEN COLLEGE,OPPOSITE OF LALBHAG MAIN GATE",
"Lalbhag Society,WILSON GARDEN,OPPOSITE OF HOPCOMS",
"Wilson Garden 7th Cross,WILSON GARDEN,OPPOSITE OF ABHAYA HOSPITAL",
"Lakkasandra,OPPOSITE OF NIMAHANS CONVENTION CENTER",
"Nimhans Hospital,IN FRONT OF NIMHANS HOSPITAL GATE",
"Ashrama Bismilla Nagara Bannerghatta Road",
"Jal Bhavan",
"Jayadeva Hospital,JP NAGARA 3RD PHASE,BESIDE MAAS UNIQUE TOWER",
"Nagarabhavi BDA Complex,NAGARABHAVI 2ND STAGE,BESIDE BDA COMPLEX NAGARABHAVI",
"Papareddy Palya,PAPAREDDY PALYA,BESIDE SHARADA TIMBERS",
"Deepa Complex,PAPAREDDY PALYA,BESIDE DEEPA COMPLEX",
"Ambedkar College,80FEET OUTER RING ROAD,IN FRONT OF FISH PRODUCT SALES COUNTER",
"NGEF Layout,NGEF LAYOUT,IN FRONT OF TEJASWINI PHARMA",
"Nrupatunga Nagar,N.G.E.F.LAYOUT,IN FRONT OF TWINKLERS VIDYANIKETHAN",
"Nagarabhavi Village,NAGARABHAVI VILLAGE,BESIDE DANVANTHARI HOMEO CLINIC",
"NAGARBHAVI CIRCLE,NAGARABHAVI CIRCLE,OPPOSITE OF DURGA PARAMESHWARI HOTEL",
"Jyothi Nagara,JYOTHI NAGARA,IN FRONT OF BASAVESHWARA TRADERS",
"Chandra Layout,CHANDRA LAYOUT,OPPOSITE OF CHANDRAGIRI PALACE",
"Chandra Layout Ganesh temple,CHANDRA LAYOUT,BESIDE POST OFFICE",
"Chandra Public School Chandra Layout,CHANDRA LAYOUT,BESIDE SPIRIT JUNCTION",
"Income Tax Layout,VIJAYANAGARA,BESIDE A.M.HOSPITAL",
"Attiguppe,RPC LAYOUT,OPPOSITE OF SYNDICATE BANK",
"Deepanjalinagara Depot-16,DEEPANJALI NAGARA,OPPOSITE OF DEPOT 16",
"Bapuji Nagara",
"New Guddadahalli",
"Azad Nagar",
"Sirsi Circle,SIRSI CIRCLE",
"Vinayaka Talkies KR Market",
"Krishnarajendra Market,KR MARKET,OPPOSITE TO CHANDRA BHAVAN HOTEL",
"Town Hall",
"St Josephs School",
"Ele B Stn",
"Trinity Circle,HALASURU,BESIDE M.G.ROAD & A STAR CENTER",
"Halasur,HALASURU,BESIDE R.V.LIQUORS",
"Indiranagar Police Station,INDIRANAGARA,BESIDE JEALOUS-21",
"Chinmaya Mission Hospital,INDIRANAGARA,BESIDE POSTAL OFFICERS QUARERS C & D BLOCK",
"Tippasandra,INDIRANAGARA,BESIDE SPENCERS SUPER, COLUMBIA ASIA",
"Tippasandra Market,THIPPASANDRA,BESIDE VINAYAKA MEDICALS",
"Ganesha Temple,HAL 3RD STAGE,OPPOSITE OF GANESHA TEMPLE",
"BEML,BEML,IN FRONT OF BEML LIMITED",
"LRDE",
"DRDO Qts,C.V.RAMAN NAGARA,OPPOSITE OF MES SERVICE CENTER NO-1",
"CV Raman Nagara",
"Kalyananagara Bus Stand,KALYAN NAGAR,OPPOSITE OF PANASONIC/GIRIAS SHOW ROOM",
"Kalyana Nagara,KALYANA NAGARA,OPPOSITE OF INDO ASIAN ACADEMY DEGREE COLLEGE",
"Hennur Cross",
"Hennur Depot",
"Kacharakanahalli,KACHARAKANAHALLI,OPPOSITE OF CHENNAKESHAVA TEMPLE",
"Jyothi School Lingarajapura,KACHARAKANAHALLI,IN FRONT OF BETHEL CHURCH",
"Lingarajapuram,KARIYANA PALYA,IN FRONT OF SUCHI RUCHI VEG",
"Lingarajapura Bridge",
"CHARLES SCHOOL,SAGAYAPURAM,BESIDE ST CHARLES CONVENT",
"Sindhi Colony,FRAZER TOWN,IN FRONT OF BBMP CHOULTRY",
"Thoms Cafe,FRAZER TOWN,OPPOSITE OF CAR TRENDZ",
"Lavanya Talkies,BESIDE POPULAR AUTOMOBILES",
"Hasanath College,HALASURU,BESIDE HARANATHA COLLEGE",
"B Station",
"Domlur Bridge,DOMLURU,BESIDE CHEFGEN REJENCY FAMILY RESTAURANT",
"Sreenivagilu,KORAMANGALA RING ROAD,BESIDE MUNESHWARA TEMPLE",
"Jn of 80 and 100 Feet Road,KORAMANGALA RING ROAD,BESIDE SONY CENTER",
"Canara Bank Koramangala,KORAMANGALA RING ROAD,BESIDE CANARABANK",
"BDA Complex koramangala,KORAMANGALA RING ROAD,BESIDE BDA COMPLEX",
"Koramangala Water Tank,KORAMANGALA RING ROAD,BESIDE WATER TANK",
"Krupanidhi College",
"Madiwala MARKET",
"Central Silk Board,MADIWALA,IN FRONT OF SHRI KRISHNA BHAVAN HOTEL",
"Jagajeevanram Nagara,J.J.NAGARA,BESIDE B.B.M.P. P.U.C. COLLEGE",
"Maramma Temple,K.H.RANGANATHA COLONY,OPPOSITE OF MARIYAMMA TEMPLE",
"Sirsi Circle",
"Mahathma Gandhi Statue,OPPOSITE OF CHANNASWAMY STADIUM",
"Forties Hospital,BESIDE SIGMA MALL",
"Vasantanagara Ambedker Bhavan",
"Contonment Railway Station,SHIVAJI NAGARA,BESIDE RAILWAY STATION",
"Bamboo Bazaar,SHIVAJI NAGARA,BESIDE PETROL BUNK",
"Coles Park",
"Doddi,FRAZER TOWN,IN FRONT OF MANJUNATHA WINES",
"Canara Bank ,FRAZER TOWN,IN FRONT OF SANTHOSH JEWELERS",
"Muslim Colony Kadugondanahalli",
"Venkateshapura",
"Kadugondanahalli,K.G.HALLI,IN FRONT OF SAGAR MEDICALS",
"Railway Gate ",
"Arabic college,ARABIC COLLEGE,OPPOSITE OF ARABIC COLLEGE",
"Nagavara,NAGAVARA,IN FRONT OF VASAVI GENERAL STORES",
"Mahathma Gandhi Statue",
"Vasantha Nagara Temple",
"CSI",
"Bamboo Bazaar",
"Coles Park,FRAZER TOWN,OPPOSITE OF PEEKAYS SUPER MARKET",
"Doddi",
"Sarai Palya Nagawar",
"Thanisandra",
"Ramakrishna Hegde Nagara",
"Chikkallasandra Bus Stand,IN FRONT OF U.K.RESIDENCY APARTMENTS",
"Mahesh Medicals,CHIKKALASANDRA,IN FRONT OF VINAYAKA PHOTO STUDIO",
"Banashankari BDA Complex,BANASHANKARI 2ND STAGE,BESIDE BDA COMPLEX",
"Jayanagara 5th Block,JAYANAGARA 5TH BLOCK,BESIDE PANASONIC SHOW ROOM",
"Marenahalli JPnagar Road,JP NAGARA 1ST PHASE,BESIDE VIVEKS SHOW ROOM",
"RVDental College,JP NAGARA 1ST PHASE,BESIDE SAI AUTO WORLD",
"JP Nagara 15th Cross,JP NAGARA 2ND PHASE,OPPOSITE OF CELL CITY",
"Inchara,J.P.NAGARA 5TH PHASE,OPPOSITE OF ROYAL SCHOOL",
"Puttenahalli Jp nagar,J.P.NAGARA 7TH PHASE,OPPOSITE OF BIG MARKET",
"Brigade Millenium,R.B.I.LAYOUT,OPPOSITE OF APOLLO PHARMACY",
"RBI Layout,R.B.I.LAYOUT,OPPOSITE OF SOMESHWARA SABHA BHAVANA",
"Gowrava nagar,GOWRAVA NAGARA,OPPOSITE OF H.D.F.C.BANK",
"Navodaya Nagara,NAVODAYA NAGARA,IN FRONT OF VISHWAS SHOPPING CENTRE",
"Kothnuru Dinne,J.P.NAGARA 8TH PHASE,OPPOSITE OF GANESHA TEMPLE",
"BK Circle,J.P.NAGARA 8TH PHASE,OPPOSITE OF UNIVERSAL GRANITES",
"Surabhi,J.P.NAGARA 8TH PHASE, SURABHI NAGARA,OPPOSITE OF VINAYAKA TIMBERS",
"Jambu Savari Dinne",
"Royal Lake Residency,J.P.NAGARA 9TH PHASE,BESIDE NOORI GRANITES",
"Glass Factory,AVALAHALLI,OPPOSITE OF GLASS FACTORY",
"Kothnuru Kanakapura Road,HARI NAGARA,OPPOSITE OF EAPI GROUP APPARTMENTS",
"Sowdamini Kalyana Mantapa,BANK COLONY,IN FRONT OF SOWDAMINI KALYANA MANTAPA",
"Kanankunte,KONANAKUNTE,OPPOSITE OF AKSHAYA TRADERS",
"Konanakunte Cross,KONANA KUNTE CROSS,IN FRONT OF KARUR VYSHYA BANK ATM",
"RAGI MACHINE,KONANA KUNTE CROSS,OPPOSITE OF SHASHANK CONDIMENTS",
"Chikkallasandra Aralimara,CHIKKALASANDRA,BESIDE SHANIMATHMA TEMPLE",
"Mahesh Medicals,CHIKKALASANDRA,IN FRONT OF MAHESH PHARMA MEDICALS",
"HSR BDA COMPLEX",
"14th Main HSR Layout",
"John Fowler,KORAMANAGALA,OPPOSITE OF TOSHIBHA COMPANY, IN FRONT OF KSRP QUARTERS",
"Koramangala Water Tank,KORAMANGALA,OPPOSITE OF AGARWAL EYE HOSPITAL & STATE BANK OF INDIA",
"Jn of 80 and 100 Feet Road",
"BMTC Depot-15 Koramangala",
"KRM Police station,KORAMANGALA,BESIDE PANCHAMUKI GANESH TEMPLE,OPPOSITE OF SAGAR FAST FOOD HOTEL",
"Koramangala Kalyana Mantapa,KORAMANGALA,BESIDE PLAY GROUND, PLATINUM, VLCE",
"Jyothi nivas College,KORAMANGALA,OPPOSITE OF BHARAT PETROL BUNK",
"Audugudi Police Station",
"Adugodi",
"MICO Gate,OPPOSITE OF MANOKAMAN CERAMIC",
"Wilson Garden 14th cross,WILSON GARDEN,IN FRONT OF SAGAR PHARM",
"Wilson Garden 10th Cross,WILSON GARDEN,IN FRONT OF G.S.POER SYSTEM",
"Wilson Garden Police Station,WILSON GARDEN,OPPOSITE OF SYNDICATE BANK",
"Double Road Shanthinagar",
"CorporationPallavi,SAMPANGIRAMA NAGARA,IN FRONT OF PALLAVI TALKIES",
"Maharani College,VASANTHA NAGARA,BESIDE MAHARANI COLLEGE",
"Shivananda store,NEHARU NAGARA,BESIDE DESAI NURSING HOME",
"Swastik,NEHARU NAGARA,BESIDE MALLESHWARM POLICE STATION",
"Devaiah Park,NAGAPPA BLOCK,BESIDE CANARA BANK",
"Harishchandra Ghat,GAYTHRI NAGARA,BESIDE HARISHCHANDRA GHAT",
