route_no,time,time_hr,time_min,min
223H,00:50 Min,0,50,50
223L,00:50 Min,0,50,50
225,00:50 Min,0,50,50
225G,00:50 Min,0,50,50
234,00:50 Min,0,50,50
235A,00:50 Min,0,50,50
237C,00:50 Min,0,50,50
238G,00:50 Min,0,50,50
238U,00:50 Min,0,50,50
238V,00:50 Min,0,50,50
240BA,00:50 Min,0,50,50
241CB,00:50 Min,0,50,50
243A,00:50 Min,0,50,50
243F,00:50 Min,0,50,50
243H,00:50 Min,0,50,50
243J,00:50 Min,0,50,50
244C,00:50 Min,0,50,50
244F,00:50 Min,0,50,50
244G,00:50 Min,0,50,50
250M,00:50 Min,0,50,50
250YA,00:50 Min,0,50,50
267C,00:50 Min,0,50,50
269,00:50 Min,0,50,50
269A,00:50 Min,0,50,50
271C,00:50 Min,0,50,50
271E,00:50 Min,0,50,50
271P,00:50 Min,0,50,50
271T,00:50 Min,0,50,50
273F,00:50 Min,0,50,50
273J,00:50 Min,0,50,50
279A,00:50 Min,0,50,50
286A,00:50 Min,0,50,50
287L,00:50 Min,0,50,50
290B,00:50 Min,0,50,50
290D,00:50 Min,0,50,50
290N,00:50 Min,0,50,50
290Y,00:50 Min,0,50,50
291E,00:50 Min,0,50,50
293A,00:50 Min,0,50,50
296B,00:50 Min,0,50,50
301A,00:50 Min,0,50,50
302A,00:50 Min,0,50,50
302K,00:50 Min,0,50,50
303A,00:50 Min,0,50,50
303E,00:50 Min,0,50,50
303G,00:50 Min,0,50,50
310,00:50 Min,0,50,50
311,00:50 Min,0,50,50
311J,00:50 Min,0,50,50
314A,00:50 Min,0,50,50
329L,00:50 Min,0,50,50
330B,00:50 Min,0,50,50
330H,00:50 Min,0,50,50
333C,00:50 Min,0,50,50
333J,00:50 Min,0,50,50
335B,00:50 Min,0,50,50
335F,00:50 Min,0,50,50
338,00:50 Min,0,50,50
343B,00:50 Min,0,50,50
343F,00:50 Min,0,50,50
347B,00:50 Min,0,50,50
348F,00:50 Min,0,50,50
348J,00:50 Min,0,50,50
368D,00:50 Min,0,50,50
369E,00:50 Min,0,50,50
369H,00:50 Min,0,50,50
402N,00:50 Min,0,50,50
403B,00:50 Min,0,50,50
415D,00:50 Min,0,50,50
CCC-1,00:55 Min,0,55,55
MF-1,00:55 Min,0,55,55
WFS-1,00:55 Min,0,55,55
2E,00:55 Min,0,55,55
HS-4,00:55 Min,0,55,55
MF-6,00:55 Min,0,55,55
MF-7,00:55 Min,0,55,55
TR-8,00:55 Min,0,55,55
BC-9,00:55 Min,0,55,55
BC-9D,00:55 Min,0,55,55
FDR-11A,00:55 Min,0,55,55
AS-15,00:55 Min,0,55,55
27A,00:55 Min,0,55,55
3F-1,00:55 Min,0,55,55
3F-2,00:55 Min,0,55,55
3F-3,00:55 Min,0,55,55
34,00:55 Min,0,55,55
3F-4,00:55 Min,0,55,55
3F-5,00:55 Min,0,55,55
3F-6,00:55 Min,0,55,55
43C,00:55 Min,0,55,55
45B,00:55 Min,0,55,55
63B,00:55 Min,0,55,55
77B,00:55 Min,0,55,55
77C,00:55 Min,0,55,55
77F,00:55 Min,0,55,55
79E,00:55 Min,0,55,55
82A,00:55 Min,0,55,55
82C,00:55 Min,0,55,55
94C,00:55 Min,0,55,55
95A,00:55 Min,0,55,55
96AS,00:55 Min,0,55,55
96E,00:55 Min,0,55,55
MP-96,00:55 Min,0,55,55
120,00:55 Min,0,55,55
144G,00:55 Min,0,55,55
154,00:55 Min,0,55,55
161D,00:55 Min,0,55,55
190,00:55 Min,0,55,55
210CA,00:55 Min,0,55,55
210J,00:55 Min,0,55,55
210KA,00:55 Min,0,55,55
210P,00:55 Min,0,55,55
210T,00:55 Min,0,55,55
215BA,00:55 Min,0,55,55
215J,00:55 Min,0,55,55
215K,00:55 Min,0,55,55
215M,00:55 Min,0,55,55
215R,00:55 Min,0,55,55
222F,00:55 Min,0,55,55
223P,00:55 Min,0,55,55
223PA,00:55 Min,0,55,55
223Q,00:55 Min,0,55,55
224,00:55 Min,0,55,55
225D,00:55 Min,0,55,55
225F,00:55 Min,0,55,55
225J,00:55 Min,0,55,55
230A,00:55 Min,0,55,55
234A,00:55 Min,0,55,55
235AA,00:55 Min,0,55,55
235AB,00:55 Min,0,55,55
235D,00:55 Min,0,55,55
235Q,00:55 Min,0,55,55
237,00:55 Min,0,55,55
239A,00:55 Min,0,55,55
240A,00:55 Min,0,55,55
240C,00:55 Min,0,55,55
240R,00:55 Min,0,55,55
241C,00:55 Min,0,55,55
241CN,00:55 Min,0,55,55
241N,00:55 Min,0,55,55
243D,00:55 Min,0,55,55
248C,00:55 Min,0,55,55
248G,00:55 Min,0,55,55
248W,00:55 Min,0,55,55
250C,00:55 Min,0,55,55
250CA,00:55 Min,0,55,55
250CB,00:55 Min,0,55,55
250D,00:55 Min,0,55,55
250H,00:55 Min,0,55,55
250TA,00:55 Min,0,55,55
250W,00:55 Min,0,55,55
250YB,00:55 Min,0,55,55
251C,00:55 Min,0,55,55
252D,00:55 Min,0,55,55
252J,00:55 Min,0,55,55
255AC,00:55 Min,0,55,55
256C,00:55 Min,0,55,55
256F,00:55 Min,0,55,55
259B,00:55 Min,0,55,55
261,00:55 Min,0,55,55
263D,00:55 Min,0,55,55
263H,00:55 Min,0,55,55
265B,00:55 Min,0,55,55
267A,00:55 Min,0,55,55
270G,00:55 Min,0,55,55
271A,00:55 Min,0,55,55
273B,00:55 Min,0,55,55
275,00:55 Min,0,55,55
275C,00:55 Min,0,55,55
279C,00:55 Min,0,55,55
286,00:55 Min,0,55,55
286B,00:55 Min,0,55,55
286D,00:55 Min,0,55,55
286F,00:55 Min,0,55,55
286H,00:55 Min,0,55,55
287T,00:55 Min,0,55,55
288,00:55 Min,0,55,55
288C,00:55 Min,0,55,55
288F,00:55 Min,0,55,55
288M,00:55 Min,0,55,55
290J,00:55 Min,0,55,55
291R,00:55 Min,0,55,55
294B,00:55 Min,0,55,55
295C,00:55 Min,0,55,55
300A,00:55 Min,0,55,55
300E,00:55 Min,0,55,55
300F,00:55 Min,0,55,55
301E,00:55 Min,0,55,55
302C,00:55 Min,0,55,55
302E,00:55 Min,0,55,55
302F,00:55 Min,0,55,55
310E,00:55 Min,0,55,55
312A,00:55 Min,0,55,55
313B,00:55 Min,0,55,55
313D,00:55 Min,0,55,55
313G,00:55 Min,0,55,55
313P,00:55 Min,0,55,55
313T,00:55 Min,0,55,55
313U,00:55 Min,0,55,55
314,00:55 Min,0,55,55
314G,00:55 Min,0,55,55
315K,00:55 Min,0,55,55
315P,00:55 Min,0,55,55
330D,00:55 Min,0,55,55
330E,00:55 Min,0,55,55
330G,00:55 Min,0,55,55
333F,00:55 Min,0,55,55
335H,00:55 Min,0,55,55
335HD,00:55 Min,0,55,55
336B,00:55 Min,0,55,55
343D,00:55 Min,0,55,55
343L,00:55 Min,0,55,55
346J,00:55 Min,0,55,55
347D,00:55 Min,0,55,55
347E,00:55 Min,0,55,55
348A,00:55 Min,0,55,55
348C,00:55 Min,0,55,55
348G,00:55 Min,0,55,55
348L,00:55 Min,0,55,55
363A,00:55 Min,0,55,55
364,00:55 Min,0,55,55
364D,00:55 Min,0,55,55
369C,00:55 Min,0,55,55
369D,00:55 Min,0,55,55
369M,00:55 Min,0,55,55
369N,00:55 Min,0,55,55
401W,00:55 Min,0,55,55
402C,00:55 Min,0,55,55
402D,00:55 Min,0,55,55
407D,00:55 Min,0,55,55
415E,00:55 Min,0,55,55
500T,00:55 Min,0,55,55
600CF,00:55 Min,0,55,55
7D,01:00 Min,1,0,60
7F,01:00 Min,1,0,60
G-7,01:00 Min,1,0,60
JPV-10,01:00 Min,1,0,60
13A,01:00 Min,1,0,60
13C,01:00 Min,1,0,60
13F,01:00 Min,1,0,60
27,01:00 Min,1,0,60
27E,01:00 Min,1,0,60
27N,01:00 Min,1,0,60
34B,01:00 Min,1,0,60
34S,01:00 Min,1,0,60
36A,01:00 Min,1,0,60
43B,01:00 Min,1,0,60
43H,01:00 Min,1,0,60
43M,01:00 Min,1,0,60
45D,01:00 Min,1,0,60
MP-45F,01:00 Min,1,0,60
52,01:00 Min,1,0,60
52E,01:00 Min,1,0,60
60A,01:00 Min,1,0,60
60E,01:00 Min,1,0,60
MP-60A,01:00 Min,1,0,60
61,01:00 Min,1,0,60
63,01:00 Min,1,0,60
77D,01:00 Min,1,0,60
78,01:00 Min,1,0,60
79G,01:00 Min,1,0,60
79H,01:00 Min,1,0,60
82,01:00 Min,1,0,60
87S,01:00 Min,1,0,60
96,01:00 Min,1,0,60
96A,01:00 Min,1,0,60
139A,01:00 Min,1,0,60
144K,01:00 Min,1,0,60
164,01:00 Min,1,0,60
169,01:00 Min,1,0,60
171,01:00 Min,1,0,60
171J,01:00 Min,1,0,60
176D,01:00 Min,1,0,60
182,01:00 Min,1,0,60
195A,01:00 Min,1,0,60
197,01:00 Min,1,0,60
210B,01:00 Min,1,0,60
210E,01:00 Min,1,0,60
210F,01:00 Min,1,0,60
210FA,01:00 Min,1,0,60
210GA,01:00 Min,1,0,60
210N,01:00 Min,1,0,60
210NA,01:00 Min,1,0,60
210NB,01:00 Min,1,0,60
210R,01:00 Min,1,0,60
210W,01:00 Min,1,0,60
211B,01:00 Min,1,0,60
212,01:00 Min,1,0,60
215,01:00 Min,1,0,60
215CA,01:00 Min,1,0,60
215NB,01:00 Min,1,0,60
215T,01:00 Min,1,0,60
217D,01:00 Min,1,0,60
218A,01:00 Min,1,0,60
221D,01:00 Min,1,0,60
221E,01:00 Min,1,0,60
221G,01:00 Min,1,0,60
222C,01:00 Min,1,0,60
222N,01:00 Min,1,0,60
223D,01:00 Min,1,0,60
223E,01:00 Min,1,0,60
224A,01:00 Min,1,0,60
224C,01:00 Min,1,0,60
224D,01:00 Min,1,0,60
225A,01:00 Min,1,0,60
225AB,01:00 Min,1,0,60
225B,01:00 Min,1,0,60
225C,01:00 Min,1,0,60
225CB,01:00 Min,1,0,60
225CF,01:00 Min,1,0,60
225K,01:00 Min,1,0,60
227C,01:00 Min,1,0,60
227H,01:00 Min,1,0,60
230,01:00 Min,1,0,60
235B,01:00 Min,1,0,60
235E,01:00 Min,1,0,60
235K,01:00 Min,1,0,60
235P,01:00 Min,1,0,60
237D,01:00 Min,1,0,60
238S,01:00 Min,1,0,60
238Z,01:00 Min,1,0,60
239C,01:00 Min,1,0,60
240,01:00 Min,1,0,60
241,01:00 Min,1,0,60
241CJ,01:00 Min,1,0,60
241E,01:00 Min,1,0,60
241G,01:00 Min,1,0,60
242N,01:00 Min,1,0,60
242ZC,01:00 Min,1,0,60
243,01:00 Min,1,0,60
243C,01:00 Min,1,0,60
245C,01:00 Min,1,0,60
245E,01:00 Min,1,0,60
245J,01:00 Min,1,0,60
246A,01:00 Min,1,0,60
248F,01:00 Min,1,0,60
250,01:00 Min,1,0,60
