busstop,trips
"Manchegowdana palya,MANCHEGOWDANA PALYA,IN FRONT OF MARAMMA TEMPLE","4"
"Manipal Hospital,KONENA AGRAHARA","4"
"Mantanakurchi,MANCHANKHURKI,BESIDE ANJANEYA TEMPLE","4"
"Maralagondalu","4"
"Marasandra,MARASANDRA,OPPOSITE OF ANJANEYA TEMPLE","4"
"Marenahalli Bande,MARENAHALLI,IN FRONT OF MILK DAIRY","4"
"Masidhi Cross","4"
"Matha Gate,IN FRONT OF ANJANEYA TEMPLE","4"
"Matha Gate,NEAR ANJANEYA TEMPLE","4"
"Matha,MATHA VILLAGE,IN FRONT OF WATER TANK","4"
"Mazar Hosahalli Cross,MAJARA HOSAHALLI,OPPOSITE OF ANGANAVADI SCHOOL","4"
"Mazar Hosahalli,MAJARA HOSAHALLI,IN FRONT OF GOVERNMENT MILK DAIRY","4"
"Meda Maranahalli Cross","4"
"Mosque,MADIWALA,IN FRONT OF KHYKHA COURT","4"
"Muddana Palya,IN FRONT OF REVANA SIDDESHWARA PROVISION STORE","4"
"Mugabala,MUGABALA,IN FRONT OF CHANDANAS BEKARY","4"
"Mylanahalli Chikka jala,OPPOSITE OF GOVERNMENT SCHOOL","4"
"Mylapura","4"
"Naduvatti Colony,NADAVATHI,OPPOSITE OF ASHWATHA KATTE","4"
"Nagayyanadoddi","4"
"Nandagudi","4"
"Narayankere,IN FRONT OF GOVT.SCHOOL","4"
"Nayakanapalya,IN FRONT OF PUMP HOUSE","4"
"Nelavagilu","4"
"Nellegudde,NELLIGUDDAKERE,BESIDE OPEN AREA","4"
"New Devanahalli","4"
"Nobel Residency Gate,BOMMANAHALLI-BEGURU VIA JIGANI,OPPOSITE OF GR.QUEENS PRIDE APARTMENT","4"
"Noor Nagara,NOOR NAGARA,IN FRONT OF CHOKKANAHALLI LAYOUT","4"
"Pandithana Agrahara,SARJAPURA HOBLI,IN FRONT OF SRI KODANDARAYA SWAMY TEMPLE","4"
"Patalamma Temple,BESIDE GOVERNMENT SCHOOL","4"
"Peddanapalya,TAVAREKERE,IN FRONT OF GOVERNMENT PRIMARY SCHOOL","4"
"Pichguntarahalli,PICHAGUNTRAHALLI,OPPOSITE OF GOVERNMENT SCHOOL","4"
"Pooja Garden,VAISHNAVI LAYOUT,IN FRONT OF BAKTHA AJANEYA TEMPLE","4"
"Puradapalya,OPPOSITE OF ALADAMARA","4"
"RKFARM,BYAGADADENAHALLI,IN FRONT OF CONSPACE PRIVATE LIMITED","4"
"Raghavendra Dhama,RAGHAVENDRA DHAMA,BESIDE OPEN AREA","4"
"Railway Station Doddaballapura,DODDABALLAPURA,OPPOSITE OF RAILWAY STATION","4"
"Ramadevanahalli,RAMADEVANAHALLI,IN FRONT OF ESHWARA TEMPLE","4"
"Ramagere School Tharahunase,OPPOSITE OF HANUMAN HOTEL","4"
"Ramanayakana Thandya","4"
"Razak Palya,RAZACK PALYA,BESIDE OPEN AREA","4"
"SAP ITPL,WHITEFIELD,IN FRONT OF FORTUNE HOTEL","4"
"SONNENAHALLI,SONNENAHALLI,BESIDE OPEN AREA","4"
"SUNNAGATTA,DODDABALLAPURA,OPPOSITE OF GOVERNMENT SCHOOL","4"
"Sai Baba Temple","4"
"Sampigehalli,BHANNERGHATTA","4"
"Sanjeevana Palya,BESIDE OPEN AREA","4"
"Savanadurga,BEHIND LAKSHMINARASIMHA SWAMY TEMPLE","4"
"Seebakatte,MANCHEGOWDANA PALYA,OPPOSITE OF BASAVESHWARA TEMPLE","4"
"Seetha Kempanahalli CROSS,SEETHA KEMPANAHALLI,BESIDE OPEN AREA","4"
"Shettigowdana Doddi,OPPOSITE OF GANESHA TEMPLE","4"
"Shikaripalya,HULIMANGALA POST,IN FRONT OF GOVERNMENT JUNIOR URDU SCHOOL","4"
"Shivakote,SHIVAKOTE,BESIDE PRIMARY SCHOOL","4"
"Shivanapura,SHIVANAPURA,BESIDE ANGANAWADI KENDRA","4"
"Shivanasandra,IN FRONT OF ASHWATHA KATTE","4"
"Siddayyanapalya","4"
"Sigehalli Gate,SIGEHALLI,BESIDE OPEN AREA","4"
"Singanayakanahalli,IN FRONT OF MARIYAMMA TEMPLE","4"
"Sonnanayakanpura","4"
"South End Circle","4"
"Sripathi Halli,IN FRONT OF PRIMARY SCHOOL","4"
"St John Hospital,HOSUR ROAD","4"
"St Marys School","4"
"Sub Register Office,LAKKUPPE,IN FRONT OF SHIVRAJ MOTORS","4"
"Sub Register Office,NELAMANGALA,BESIDE PETTY SHOP","4"
"Sulivara,OPPOSITE OF GOVT. SCHOOL","4"
"Suliwara Cross,BESIDE I.S.R.O. CENTER","4"
"Sun Shine School,KALKERE,OPPOSITE OF SUNSHINE SCHOOL","4"
"T.AGRAHARA,SADAHALLI,IN FRONT OF GOVT. SCHOOL","4"
"TB gate","4"
"Taluk Office","4"
"Tavarekere,TAVAREKERE,IN FRONT OF GRAMA PANCHAYATH OFFICE","4"
"Thammanayakanahalli","4"
"Thammarasanahalli,TAMMARASANAHALLI,BESIDE  SRI RUDRAMUNI SWAMY TEMPLE","4"
"Tharabanahalli Cross,IN FRONT OF ALADAMARA","4"
"Thimmabhovi Palya,THIMMABOVIE PALYA,BESIDE GOVT. PRIMARY SCHOOL","4"
"Thirumagondanahalli Cross","4"
"Thoredoddi,THORE DODDI,IN FRONT OF GOVT. HOSPITAL","4"
"Thyagadahalli,THAYADAHALLI,IN FRONT OF GOVT. PRIMARY SCHOOL","4"
"Tindlu","4"
"Uragahalli Bidadi,URAGAHALLI,OPPOSITE OF MARAMMA & ANJANEYA TEMPLE","4"
"VINAYAKA NAGARA,VINAYAKA NAGARA,BESIDE WATER TANK","4"
"Vaddarapalya,VADERAHALLI,OPPOSITE OF GOVT.HIGHER PRIMARY SCHOOL","4"
