busstop,trips
"Kuda Road uskur Cross,RAILWAY GOLLAHALLI,BESIDE OPEN AREA","36"
"Muneshwara nagara Kerekodi,HOSAKERE HALLI KEREKODI,IN FRONT OF RAMANJANEYA TEMPLE","36"
"Naduvatti,NADAVATHI,OPPOSITE OF GOVT.SCHOOL","36"
"Nekkundi Dommasandra,IN FRONT OF ASWATHA  KATTE","36"
"Parasanapalya,IN FRONT OF ASHWATHA KATTE","36"
"Ramana Devasthana,SARJAPURA,IN FRONT OF SRI KODANDA RAMA TEMPLE","36"
"SAPTHAGIRI COLLEGE,KIRLOSKAR LAYOUT,BESIDE SAPTHGIRI GENERAL STORE","36"
"Sathanur Colony,SATHANURU,BESIDE GOVT PRIMARY SCHOOL","36"
"Sathanur,SATHANURU,BESIDE OPEN AREA","36"
"Sonnenahalli,SONNENAHALLI,BESIDE MILK DAIRY","36"
"Sumana Halli,SUMANAHALLI,IN FRONT OF SUMANAHALLI DEPOT 31","36"
"Vasanthapura,VASANTHAPURA,OPPOSITE OF VASANTHA VALLABHARAYA SWAMY TEMPLE ARCH","36"
"Vidyagiri Layout,CHANDRA LAYOUT,OPPOSITE OF DOOR NO 303","36"
"Yediyur,YEDIYURU,BESIDE OPEN AREA","36"
"Yelahanka,YELAHANKA,OPPOSITE OF H.D.F.C.BANK","36"
"AIR FORCE QUARTERS,JALAHALLI,BESIDE QUARTERS","38"
"ARAVINDA LIMITED","38"
"Adugodi,ADUGODI,IN FRONT OF GOVT. GIRLS SCHOOL","38"
"Anantapura Gate,YELAHANKA,IN FRONT OF D.G.PLANT STAFF COLONY","38"
"Avalahalli Doddaballapura Road,IN FRONT OF INDIAN OIL PETROL BANK","38"
"BHEL Concrode Layout,CONCORDE LAYOUT,BESIDE JEEVAN ENTERPRISES","38"
"Basaveshwara Nagara,BASAVESHWARANAGARA,IN FRONT OF ANAD CO-OPERATIVE BANK LTD","38"
"Budigere,BUDIGERE,BESIDE VEGITABLE SHOP","38"
"Chikkammanahalli Cross","38"
"D Group Employees Layout","38"
"DRDO Qts,C.V.RAMAN NAGARA,IN FRONT OF MES SERVICE CENTER NO-1","38"
"Devagere Colony,DEVAGERE,IN FRONT OF FLAG MAST","38"
"Devagere Cross,DEVAGERE CROSS,OPPOSITE OF SHWETHA HOME SOLUTION","38"
"Devasthana,NANDINI LAYOUT,OPPOSITE OF SHANIMAHATHMA TEMPLE","38"
"Dodda Balyar Kere,DODDABYALA KERE,BESIDE MANISH BAKERY","38"
"Dodda Thimmasandra","38"
"Electronic City,ELECTRONIC CITY POST,OPPOSITE OF B.M.T.C. DEPOT-19","38"
"Escorts Yalahanka Road,YELAHANKA,BESIDE FEDERAL MOGUL GOETZE INDIA","38"
"Ganakkal,OPPOSITE OF ANJANEYA TEMPLE","38"
"Gattigere Palya","38"
"HMT Layout Cross,BESIDE OM TIMBERS","38"
"Honnenahalli,OPPOSITE OF MILK DAIRY","38"
"Hotel Hemarold","38"
"Ittige Factory,BELAHALLI,BESIDE OPEN AREA","38"
"Jeevan Bheema Nagar","38"
"Jn of Hosur Road,KORAMANGALA,IN FRONT OF STAPLES STATIONARYS EAST LAND CITYDEL","38"
"Jn of Ring Road Kalyan Nagara","38"
"Kabhir Ashram,Opp to Meenakshi Apartments","38"
"Kacharakanahalli,H.B.R.LAYOUT,OPPOSITE OF HOT CHIPS","38"
"Kallabalu","38"
"Kannalli,KANNALLI,BESIDE RESIDENTIAL AREA","38"
"Kathariguppe Aralimara,VIVEKANANDA NAGARA,IN FRONT OF GANESHA TEMPLE","38"
"Kogilu Cross,YELAHANKA,BESIDE OPEN AREA","38"
"Krishna Garden BHEL Layout,KRISHNA GARDEN,BESIDE SRI KRISHNA GARDEN PARK","38"
"Kumbalgudu,KUMBALAGUDU,IN FRONT OF YOUTHS SERVICES AND SPORTS TRAINING CENTER","38"
"Kurubarahalli Cross,KURUBARAHALLI CROSS,BESIDE SRI RENUKA YELLAMMA DEVI STORE","38"
"Laggere Cross,PEENYA INDUSTRIAL AREA,IN FRONT OF SRI SAI FURNITURES","38"
"Lakshmipura Cross,LAKSHMIPURA,BESIDE PETTY SHOP","38"
"Mahesh Medicals,CHIKKALASANDRA,IN FRONT OF VINAYAKA PHOTO STUDIO","38"
"Makanahalli,MAKANAHALLI,IN FRONT OF KAVERI BAKERY","38"
"Mallata Halli,MALLATHAHALLI,BESIDE RESIDENTIAL AREA","38"
"Maralakunte,MARALAKUNTE,BESIDE PITTY SHOP","38"
"Meda Agrahara Cross,MEDA AGRAHARA,BESIDE RESIDENTIAL AREA","38"
"Nagenahalli Gate,IN FRONT OF HUNASEMARA","38"
"Nalku kamba,GUDIMAVU VILLAGE,OPPOSITE OF SRI LAKSHMI PROVISION STORES","38"
"Nayanappa Shettipalya","38"
"Nayanappanahalli Cross","38"
"Nethravathi,BEST COLONY,BESIDE A.K.TRADERS","38"
"Pillanna Garden,PILLANNA GARDEN,OPPOSITE OF SIDDHI VINAYAKA TEMPLE","38"
"Police Out Post,SAHAKARA NAGARA,BESIDE SANCHAR NIGAM EXECUTIVE ASSOCIATION","38"
"RM Guttahalli","38"
"Ramagondanahalli Varthuru","38"
"Sambhram College MS Palya,M.S.PALYA,BESIDE NANDINI MILK PARLOUR","38"
"Shanthi Talkies","38"
"Shivakote,SHIVAKOTE,BESIDE SRI RAGHAVENDRA BAKERY","38"
"Sonnappanahalli,BETTA ULSOOR,OPPOSITE OF GOVERNMENT SCHOOL","38"
"TVS Cross","38"
"Thimmayya Garden,RT NAGARA,OPPOSITE OF SHRI BYRAVESHWARA SWAMI TEMPLE ARCH","38"
"Vinayaka Nagara,HALEGUDDADAHALLI,BESIDE HOLY ROCK CONVENT","38"
"Wheel And Axle Plant,YELAHANKA,IN FRONT OF RAILWAY HOSPITAL","38"
"Anchemuskuru,CHIKKA TIRUPATHI,OPPOSITE OF ASHWATHA KATTE","40"
"Annapoorneshwari Nagara","40"
"Avalahalli BDA Park,AVALAHALLI BDA,OPPOSITE OF BDA PARK","40"
"Basavana Palya,OPPOSITE OF PETTY SHOP & NEAR BASAVESHWARA TEMPLE","40"
"Chandra Layout 14th Cross,CHANDRA LAYOUT,IN FRONT OF VINAYAKA ENTERPRISES","40"
"Chikkaveeraiahana Palya,TAVAREKERE,BESIDE OPEN AREA","40"
"Chowdadevanahalli","40"
"Doddabele,DODDABELE,BESIDE GOVT MIDDLE SCHOOL AND ANJANEYA TEMPLE","40"
"Eliyas Nagar,ILYASA NAGARA,BESIDE M.S.MADEENA STORE","40"
"Eshwara Layout,ESHWARA LAYOUT,IN FRONT OF OVER HEAD TANK","40"
"Estate Gate,TAVAREKERE,OPPOSITE OF KOLI FARM","40"
"Exide Factory,BILLAPURA, SARJAPURA HOBLI,OPPOSITE OF SHRI BASAVANNA TEMPLE","40"
"Frazer Town,FRAZER TOWN,IN FRONT OF BATA SHOW ROOM","40"
"Ganagaluru Gate,OPPOSITE OF RESIDENTIAL AREA","40"
"Gangondanahalli,GANGONDANAHALLI,BESIDE ASHWATHA KHATTE","40"
"Gayathri Nagara Cross,SONDEKOPPA,BESIDE KARE KODI","40"
"Geleyara Balaga AGB Layout,MAHALAKSHMIPURAM,BESIDE GURU KRUPA DAY CARE CIRCLE","40"
"Haralur Cross,HARALURU","40"
"Herohalli,HEROHALLI,BESIDE SRI MUTTAPPAN BAKERY","40"
"Hesaraghatta Village,HASARAGHATTA,BESIDE OPEN AREA","40"
"Hirandhalli,HIRANDAHALLI,OPPOSITE OF SOCIETY","40"
"Hosakote Bus Stand,HOSAKOTE,BESIDE MUNICIPAL OFFICE","40"
"Hospital,K.GOLLAHALLI,OPPOSITE OF GOVERNMENT HOSPITAL","40"
"Hulimangala Cross","40"
"Jadagenahalli,JADGENAHALLI,OPPOSITE OF RAMA MEDICALS","40"
"Jayadeva Hospital,BTM MICO LAYOUT,OPPOSITE OF JAYADEVA HOSPITAL","40"
"Jayanagara 8th Block","40"
"Jodi Aladamara,NEAR JODI ALADAMARA","40"
"Jyothi Nagara 6th Cross,IN FRONT OF DAILY NEEDS","40"
"Kacharakanahalli,KACHARAKANAHALLI,IN FRONT OF CHENNAKESHAVA TEMPLE","40"
"Kadugondanahalli,K.G.HALLI,OPPOSITE OF POOJA TEXTILES","40"
"Kaji Hosahalli,OPPOSITE OF GOVERNMENT MILK DAIRY","40"
"Kempa Dyapanahalli,KENDAPPANAHALLI,BESIDE RESIDENTIAL AREA","40"
"Kittaganur,KITHAGANURU,IN FRONT OF GOVERNMENT HIGHER PRIMARY SCHOOL","40"
"Kodigehalli,KODIGEHALLI,BESIDE PETTY SHOP","40"
"Koramangala TTMC,Koramangala,Near Dominos Pizza","40"
"Kristal Apartment Sarjapura road","40"
"Muneshawara Temple","40"
"Naganaikna kote,IN FRONT OF NILAGIRI THOPU","40"
"Nandini Talkies,MAHALAKSHMIPURAM,OPPOSITE OF UDUPI UPAHARA","40"
"O-MAX CIRCLE","40"
"Puttaiana Palya","40"
"Puttenahalli Yelhanka,YELAHANKA,IN FRONT OF BYRAVESWARA TEMPLE","40"
"RBI Layout,R.B.I.LAYOUT,OPPOSITE OF SOUTH CITY HOSPITAL","40"
"Raghuvanahalli Cross","40"
"Siddaganga School,CHANDRA LAYOUT 1ST STAGE,OPPOSITE OF SIDDAGANGA SCHOOL","40"
"Suliwara Cross,IN FRONT OF I.S.R.O. CENTER","40"
"Varthuru Police Station,VARTURU,OPPOSITE OF POLICE STATION","40"
"Varthuru,VARTHURU,BESIDE GOVT. PRIMARY SCHOOL","40"
"Beedi Karmikara Colony,Kengeri Satelite Town,CDD Society","42"
"Bendiganahalli,Adigondanahalli","42"
"Big Bazaar,WHITEFIELD,IN FRONT OF BIG BAZAAR","42"
"Brooks Heaven","42"
"Channasandra Bus Stand,IN FRONT OF VEERSH MEDICALS","42"
"Chennabyre Gowda Circle,HOSAKOTE,BESIDE AYYAPPA TEMPLE (LEFT SIDE)","42"
"Chikka Byalakere,CHIKKA BYLAKERE,BESIDE ARALI KATTE","42"
"Chikka Byalakere,CHIKKA BYLAKERE,BESIDE OPEN AREA","42"
"Chowdareddy Circle,ANEKAL,IN FRONT OF CORPORATION BANK","42"
"DASANAPURA,Balluru,Near Attibele","42"
"Dalmia JP Nagara,JP NAGARA 3RD PHASE,BESIDE S.L.V.CAR WORLD","42"
"Delhi Public School","42"
"Gandipura,WHITE FIELD,OPPOSITE OF GOVT. SCHOOL GANDHI PURA","42"
"Gangenahalli,GANGENAHALLI,BESIDE F.M.D.RESEARCH CENTER","42"
"Handenahalli Gate,ANEKAL TALUKU,IN FRONT OF SRI KRISHNA TEMPLE","42"
"Ivara Kondapura,NARKANDA PURA,BESIDE DODDAMMA TEMPLE","42"
"Jigala,ATTIBELE HOBLI,OPPOSITE OF SRI NAGALINGESHWARA TEMPLE","42"
"KEB Office Kaggalipura,AGARA,BESIDE SWANANDA BALAGANAPATHY TEMPLE","42"
"Kengeri Bandemata Badavane,Kengeri Satelite Town,Radient Enclave","42"
"Kodihalli Hesarugatta,KODIHALLI,BESIDE ASHWATHA KATTE","42"
"MGM School,RAMOHALLI,IN FRONT OF SHRINIDHI LODGE","42"
"Mahal Chowdadenahalli","42"
"Mantanakurche Gate,MANCHANKHURKI CROSS,BESIDE OPEN AREA","42"
"Maruthi Nagara","42"
"Muslim Colony Kadugondanahalli,BILAL NAGARA,IN FRONT OF J-IYENGAR BAKERY","42"
"Muthkur Hesaraghatta,MUTHKURU CROSS,BESIDE OPEN AREA","42"
"Muttanalluru,Muttanallur","42"
"Nelamangala Hunasemara,NELAMANGALA,OPPOSITE OF GOVT. PRIMARY SCHOOL","42"
"North Side Hospital,SAHAKARA NAGARA,BESIDE B.B.M.P. PARK","42"
"Pachepalya Cross,BESIDE OPEN AREA","42"
"Panathur","42"
"Poojena agrahara","42"
"Puradapalya,IN FRONT OF ALADAMARA","42"
"Railway Gollahalli,GOLLAHALLI,BESIDE SRI VEERABHADRASWAMY PROVISION STORE","42"
"Satya Sai Hospital","42"
"Shanthinagara,SHANTHINAGARA,OPPOSITE OF NANDINI HOTEL","42"
"Sollepura,Sollepura","42"
"Srinivaspura,SHANTHINAGARA,IN FRONT OF INTER GARDEN INDIA PVT. LTD","42"
"Sulikere,SULIKERE,BESIDE OPEN AREA","42"
"TB Stop Tumkur Road,I.I.H.R.HESARAGHATTA,BESIDE PETTY SHOP","42"
"Tavarekere,TAVAREKERE,BESIDE MARUTHI STORE","42"
"Thara Hunise,THARAHUNISE,IN FRONT OF ANJANEYA TEMPLE","42"
"Tharabana Halli Gate,DODDAJALA,BESIDE I.T.C.FACTORY","42"
"Venkateshwara College,VIDYA NAGARA,IN FRONT OF VENKATESHWARA COLLEGE","42"
"Voderahalli,VADERAHALLI,IN FRONT OF MILK DAIRY","42"
"govardana talkies","42"
"Addiganahalli,RAJANAKUNTE,IN FRONT OF ASHWATHA KATTE","44"
"Arishinakunte Sulibele,ARASHINA KUNTE,OPPOSITE OF MILK DAIRY","44"
"Atturu","44"
"Bangalore Children Hospital,KANDASWAMY LAYOUT, RAJESHWARI NAGARA,OPPOSITE OF SRI VINAYAKA ENTERPRISES","44"
"Basaveshwara Nagara","44"
"Basaveshwara Nagara Circle,BASAVESHWARANAGARA,IN FRONT OF SOWMYA MEDICALS","44"
"Bhuvaneshwari Nagara,RT NAGARA POST,IN FRONT OF ANNAPOORNA RICE TRADERS","44"
"Budihala,BUDIHAL,IN FRONT OF LAKSHMINARASHIMA SWAMY FLOUR MILL","44"
"Cement Factory Nelamangala,KEMPALINAGANAHALLI,BESIDE OPEN AREA","44"
"Chalekere,CHALLAKERE,BESIDE HOTEL MALABAR","44"
"Channenahalli Gate,CHANNAHALLI,OPPOSITE OF MARUTHI TAILOR","44"
"Chowdappanahalli,CHOWDAPANAHALLI,BESIDE MITHUN PROVISION STORE","44"
"Daba Gate Sulibele Road,BUDIHAL,IN FRONT OF NEW AIRLINES DABA","44"
"Devamachohalli,DEVAMACHANAHALLI,OPPOSITE OF ANJANEYA TEMPLE","44"
"Ganapathi Halli,IN FRONT OF ASHWATHA KATTE","44"
"Gangasandra,GANGASANDRA,NEAR GOVERNMENT PRIMARY SCHOOL","44"
"Garments,MYLANAHALLI,IN FRONT OF TEXPORT GARMENTS FACTORY","44"
"Gerahalli,GERAHALLI,BESIDE OPEN AREA","44"
"Glass House,SRINIVASAPURA,BESIDE SATHYA SAI TENT HOUSE","44"
"Gollahalli,K.GOLLAHALLI,OPPOSITE OF MANDALA PANCHAYAT OFFICE","44"
"Gollarahalli,N.G GOLLAHALLI,BESIDE RESIDENTIAL AREA","44"
"Handenahalli,IN FRONT OF GOVT. URUDU SCHOOL","44"
"Hosahalli Gate,CHIKKA HOSAHALLI,BESIDE MAYURA GARDEN DHABA","44"
"Indian Express,SHIVAJI NAGARA,BESIDE GOSHA HOSPITAL","44"
"Jagadeesha nagar","44"
"Jaibheemanagara,BTM LAYOUT 1ST STAGE,BESIDE THE BTM SOWHARDH CO-OPERATIVE LIMITED","44"
"Jaraganahalli House Building Co-Op-Society Layout,J.H.B.C.S.COLONY,IN FRONT OF PARK VIEW DEPARTMENTAL STORES","44"
"Junction of Vaddarahalli,VADDARAHALLI,BESIDE RESIDENTIAL AREA","44"
"Kakolu,KAKOLU GATE,BESIDE PETTY SHOP","44"
"Karenahalli,KADIRENAHALLI,IN FRONT OF DOOR NO 122","44"
"Karlapura Gate,KARLAPURA GATE,BESIDE OPEN AREA","44"
"Kodichikkanahalli cross,BOMMANAHALLI KAVERI NAGARA,NEAR INDANE OFFICE","44"
"Konasandra Cross Jigani","44"
"Kumaraswamy Layout West Cross,K.S.LAYOUT 2ND STAGE,IN FRONT OF RASHMI STORES","44"
"Kumaraswamy Layout West,K.S.LAYOUT 2ND STAGE,IN FRONT OF BALAJI STORES","44"
"Kwality Bicuits,Nayandahalli,Maruthi Pre-Owned Cars","44"
"Madiwala","44"
"Mallara Banavadi Cross,MALLARABANAWADI,IN FRONT OF VEERABHADRA SWAMY WEIGHERS","44"
"Manjunatha tent,RAMACHANDRAPURA,BESIDE SHREYAS ENTERPRISES","44"
"Metipalya,METTI PALYA,BESIDE OPEN AREA","44"
"NGV Gate","44"
"Nagashettyhalli,NAGASHETTYHALLI,BESIDE ARALI KATTE","44"
"Nalluru Cross,HOSA NALLURU,BESIDE MOOKAMBIKA BRICK WORKS","44"
"NellagulliCross,NELAGULI,IN FRONT OF MODERN ENTERPRISES","44"
"New Devanahalli,DEVANAHALLI,IN FRONT OF SHANTHI SAGAR","44"
"Oxford Dental College,J.P.NAGARA 6TH PHASE,IN FRONT OF OXFORD DENTAL CLINIC","44"
"RAILWAY GATE SHAMPURA,H.B.R.LAYOUT 2ND  STAGE,IN FRONT OF EXCELLENT RADIATORS WORK","44"
"Rayasandra Gate,AYYAPPA NAGARA,IN FRONT OF AYYAPPA TEMPLE","44"
"Russel Market","44"
"Southe Gowdana Halli,SOWTHE GOWDANAHALLI,OPPOSITE OF ANJANEYA TEMPLE","44"
"Sundaram Estate,NELOGULI,IN FRONT OF CHANDY FARM","44"
"Telecom Colony Cross,RAGHAVA BLOCK,BESIDE DEEPA CONDIMENTS","44"
"Venkatala,VENKATALA,BESIDE MARUTI SUZUKI BIMAL AUTO AGENCY","44"
"Vinayaka Layout,VINAYAKA LAYOUT,IN FRONT OF NAGARAJ ORTHOPAROLIC CLINIC","44"
"Vinayaka Talkies,CHAMARAJA PETE,IN FRONT OF ESI HOSPITAL","44"
"Yelahanka Old Town,YELAHANKA,OPPOSITE OF THIRUMALA WINE SHOP","44"
"AECS Layout,KUNDALAHALLI,IN FRONT OF GANESHA TEMPLE","46"
"Anjaneya Temple,Anekal,Temple","46"
"Avadadenahalli,Avadadenahalli,Tree","46"
"BDS Nagara,K.NARAYANAPURA,OPEN AREA","46"
"Bangarappa Nagara,BANGARAPPA NAGARA,IN FRONT OF GLOBAL ACADEMY TECHNOLOGY","46"
"Bashayam Circle","46"
"Bidarahalli Cross","46"
"Byatarayana Pura,BYATARAYANAPURA,BESIDE GOVERNMENT SCHOOL","46"
"CK Thandya Cross,BESIDE OPEN AREA","46"
"Chikka Hagade Gate,Chikka Hagade,Tree","46"
"Chikkanahalli,IN FRONT OF MARAMMA TEMPLE","46"
"Chokkanahalli Gate,Chokkanahalli ,ABR Cricket Ground","46"
"Coffee Board Layout","46"
"Devarakondappa Circle,Anekal,Circle Pillo","46"
"Dodderei Colony,IN FRONT OF GOVERNMENT SCHOOL & COLLEGE","46"
"Geethanjali Talkies","46"
"HGollahalli,H. GOLLAHALLI,IN FRONT OF GOVT. MIDDLE SCHOOL","46"
"HMT House","46"
"Head Start School Gate,Kommasandra,Temple","46"
"Hebbala Bridge,HEBBALA,BESIDE LAKE","46"
"ITI Layout Dollars colony,AGS LAYOUT,BESIDE SAGAR CAFE","46"
"Jai Maruthi Nagara,NANDINI LAYOUT,OPPOSITE OF NIRMALA CLINIC","46"
"Jaibheemanagara,BTM LAYOUT 1ST STAGE,IN FRONT OF VIGHNESH DEVELOPERS","46"
"Kaggalipura Gate,Kaggalipura,Junction Near Jcc Park","46"
"Kalyananagara Bridge,SHAKTHI GARDEN, KALYANA NAGARA,BESIDE VIVEKANANDA STATUE","46"
"Kalyananagara,KALYANA NAGARA,OPPOSITE OF SRIDEVI MOTOR GARAGE","46"
"Karpoora Gate,Karpoora,Tea Shop","46"
"Kavala Hosahalli,Anekal,Temple","46"
"Kengeri Bande Mata,KENGERI UPANAGARA,IN FRONT OF ADISHAKTHI DODDAMMA TEMPLE","46"
"Kittanahalli,KITTANAHALLI CROSS,BESIDE OPEN AREA","46"
"Kurubarahalli Cross,KURUBARAHALLI CROSS,BESIDE OPEN AREA","46"
"MATTHAHALLI,MATTHAHALLI,IN FRONT OF POST OFFICE","46"
"MICO Layout Checkpost,GOPALANMALL","46"
"Malleshwaram 13th Cross,MALLESHWARAM,BESIDE SAARASWATHA CO-OPERATIVE BANK","46"
"Military Dairy Farm,HEBBALA,BESIDE OPEN AREA","46"
"Narayankere,OPPOSITE OF GOVT. SCHOOL","46"
"Navarang Talkies","46"
"Rachenahalli Hegde Nagar,RACHENAHALLI,OPPOSITE OF DR.B.R.AMBEDKAR  YUVKAR SANGHA","46"
"Rampura Cross","46"
"Sapthagiri Hospital,GELYARA BALAGA,BESIDE SAPTHAGIRI HOSPITAL","46"
"Shanthinagara,SHANTHI NAGARA,BESIDE PETTY SHOP","46"
"Shivarama karanth layout 10th Cross","46"
"Shivarama karanth layout 13th Cross","46"
"Shivarama karanth layout 17th Cross","46"
"Silk Form,MEDAHALLI,BIRAGUPPE POST,IN FRONT OF SRINIVAS INDUSTRIES","46"
"Singanayakanahalli,OPPOSITE OF VINAYAKA TEMPLE","46"
"Sri RajaRajeshwari colony,Adjacent to open field","46"
"Srirama","46"
"Sriramapura Cross,SRIRAMPURA,IN FRONT OF M.G.M.INSTITUTE OF RURAL INDUSTRIAL DEVELOPMENT","46"
"Thattanahalli Gate,Thattanahalli","46"
"Thindlu Cross","46"
"Thippenahalli Cross,TIPPENAHALLI CROSS,BESIDE SRI MANJUNATHA UPAHARA","46"
"Upparahalli Gate,UPPARAHALLI,BESIDE MADDURAMMA TEMPLE","46"
"Vaddarahalli BMTC Training Centre,VADDARAHALLI,BESIDE OPEN AREA","46"
"Vyali Kaval Police Station,VYALIKAVAL,BESIDE STATE BANK OF MYSORE","46"
"APMC Fruit Market,Huskuru,Near Sigena Agrahara","48"
"Adigondana Halli,ATTIBELE HOBLI,ANEKAL TALUKU,OPPOSITE OF SRI LAKSHMI PROVISION STORE","48"
"Andrahalli,ANDARAHALLI,BESIDE GANESHA TEMPLE","48"
"Avalahalli ,AVALAHALLI,IN FRONT OF GEETHA HOSPITAL","48"
"BChannasandra,IN FRONT OF MUNESHWARA TEMPLE","48"
"Balaji Nagara","48"
"Ballur Cross,ATTIBELE POST-ANEKAL TALUK,BESIDE INDIAN OIL PETROL BANK, M.D.R.FUEL STATION","48"
"Ballur,ATTIBELE POST-ANEKAL TALUK,BESIDE SRI LAKSHMINARAYA SWAMY TEMPLE","48"
"Bangalore Dairy Circle,OPPOSITE OF BANGALORE DAIRY","48"
"Basavana Devastana,BASAVANNA TEMPLE,BESIDE BASAVANNA TEMPLE","48"
"Bekary Ganapathi pura,KONANAKUNTE,IN FRONT OF HARSHA MEDICALS","48"
"CK Palya","48"
"Chikka Banasawadi,CHIKKA BANASAWADI,OPPOSITE OF GOVT SCHOOL","48"
"Chunchaghatta,CHUNCHAGHATTA,IN FRONT OF YELLAMA TEMPLE","48"
"Colony Bagaluru,BAGALURU,BESIDE LAKSHMIVENKATAESHWARA MEDICALS","48"
"Depot 38,CHIKKA NAGAMANGALA,IN FRONT OF B.M.T.C. DEPOTE-38","48"
"Dibbur Cross,DIBBUR GATE,BESIDE AMRUTA BAKERY","48"
"Dinne","48"
"Doddahagade,ANEKAL TALUK,IN FRONT OF AGRICULTURE SERVICE CO-OPERATIVE SOCIETY","48"
"Ganapathipura,GANAPATHIPURA,OPPOSITE OF RAMSONS PREMIER GALAXY","48"
"Ganashe Temple Vasantha Nagara,SHIVAJI NAGARA,BESIDE VIDYA GANAPATHI TEMPLE","48"
"Gavigangadeshwara Temple,KEMPEGOWDA NAGARA,IN FRONT OF VASAVI MENS WEAR","48"
"Gopalapura,GOPALAPURA,BESIDE PITTY SHOP","48"
"Gopalapura,GOPALPURA,BESIDE GRAMA PANCHAYATI OFFICE","48"
"HBR Layout 5th Block","48"
"Huskur,SARJAPURA,IN FRONT OF SRI MADDORAMMA DEVI TEMPLE","48"
"Jigani Bus Stand,JIGANI HOBLI, ANEKAL TALUK,IN FRONT OF HARSHA SAGAR HOTEL","48"
"Kadabagere ,KADABAGERE,IN FRONT OF ANJANEYA TEMPLE","48"
"Kalyani Magnum JP Nagara,VINAYAKA NAGARA,IN FRONT OF MOM & ME","48"
"Kamala Neharu Extension,YESHAWANTHAPURA,IN FRONT OF NEW STAR BEDDING HOUSE","48"
"Kempegowda Swimming Pool,BHAVANI NAGARA,IN FRONT OF KEMPEGOWDA SWIMMING POOL","48"
"Machohalli,MACHOHALLI,IN FRONT OF ARALI KATTE","48"
"Manchappanahalli,MANCHAPANAHALLI,BESIDE ANJANEYA TEMPLE","48"
"Mathikere Post Office,MATHIKERE,IN FRONT OF SAI KRUPA HOSPITAL","48"
"Medahalli Cross","48"
"Metipalya,METTI PALYA,BESIDE SOCIETY","48"
"Muneshwara Temple,ANJANAPURA,OPPOSITE OF CHAMUNDESHWARI TEMPLE","48"
"Muniswera devastanna","48"
"Muthkuru,OPPOSITE OF MARIYAMMA TEMPLE","48"
"Navodaya School Bagalur,BESIDE JAWAHAR NAVODAYA VIDYALAYA","48"
"OMBR Layout,O.M.B.R.LAYOUT,IN FRONT OF MEDPLUS MEDICALS","48"
"Peddanapalya School,TAVAREKERE,OPPOSITE OF GOVERNMENT SCHOOL","48"
"Pinto bore,TAGACHAGUPPE,OPPOSITE OF HOTEL AMMA","48"
"RV College,JP NAGARA 1ST PHASE,OPPOSITE OF RELIANCE DIGITAL","48"
"Rajanukunte,RAJANAKUNTE,OPPOSITE OF MANJUNATHA TRADERS","48"
"SRR Kalyana Mantapa,O.M.B.R.LAYOUT,BESIDE S.R.R. KALYANA MANTAPA","48"
"Sampige,ELECTRONIC CITY POST,IN FRONT OF AMBIKA DEPARTMENT STORE","48"
"Seetakepanahalli Gate,SEETHAKEMPANAHALLI GATE,BESIDE OPEN AREA","48"
"Singapura,SINGAPURA VILLAGE,BESIDE OPEN AREA","48"
"Singhena Agrahara Cross","48"
"Thagachuguppe,TAGACHAGUPPE,IN FRONT OF SRI MANJUNATH STORES","48"
"Yeshwanthpura Market,YESHAWANTHAPURA,IN FRONT OF STATE BANK OF INDIA","48"
"Bhdrappa Layout","50"
"Big Bazaar,OPPOSITE OF PRESTIGE SHANTINIKETAN","50"
"Bommasandra Indl Area","50"
"Chamundi Nagara","50"
"Chikka Kukkanahalli,KUKKANAHALLI,BESIDE RESIDENTIAL AREA","50"
"Coles Park,FRAZER TOWN,OPPOSITE OF PARK VIEW BUILDING","50"
"Garden City College,BHATTARA HALLI,IN FRONT OF GALAXY HOME HOSTEL","50"
"Halehalli,ANEKAL TALUK,IN FRONT OF GOVERNMENT RATION SOCIETY","50"
"ITI Colony Vidya peeta circle,ITI LAYOUT, VINAYAKANAGARA,IN FRONT OF STATE BANK OF HYDARABAD","50"
"Indus International School","50"
"Jayanagara 6th Block,JAYANAGARA 7TH BLOCK,BESIDE NATURE NEST","50"
"Junction Of Malur Road,SANTE GATE,IN FRONT OF RAMA WEIGH BRIDGE","50"
"Kanshiram Nagara,KANSHIRAM NAGARA CROSS,BESIDE A.S.B.MOTORS","50"
"Kodipalya,KODI PLAYA,OPPOSITE OF GOVT. PRIMARY SCHOOL","50"
"Lakkenahalli,LAKKENAHALLI,BESIDE ASHWATHA KATTE","50"
"Lingapura,NEAR ANGANAVADI KENDRA","50"
"MVJ College,OPPOSITE OF M.J.V.ENGINEERING COLLEGE","50"
"Madhure,MADHURE,BESIDE RESIDENTIAL AREA","50"
"Mallapura Gate,NELAMANGALA,BESIDE PETTY SHOP","50"
"Mallesh Palya New Bus Stand,VIGNANA NAGARA,OPPOSITE OF MAIN BUS STAND","50"
"Muneshwara Block,MUNESHWARA BLOCK,BESIDE TEJASHWINI JUICE & CHATS","50"
"Muneshwara Temple,HALEHALLI & ANEKAL TALUK,BEHIND SRI MUNESHWARA SWAMY TEMPLE","50"
"NARASAPURA,ATTIBELE HOBLI,OPPOSITE OF SRI CHOWDESHWARI DEVI TEMPLE & ASHWATA KATTE","50"
"Old Bus Stop,BASAVESHWARANAGARA,OPPOSITE OF BBMP WARD OFFICE","50"
